
last year | at | CES
technological advantage | has belonged entirely to | them
technological advantage | has belonged to | them
technological advantage | has belonged entirely Until | now
advantage | has belonged almost entirely Until | now
technological advantage | has belonged Until | now
advantage | has belonged entirely Until | now
technological advantage | has belonged almost entirely to | them
technological advantage | has belonged almost entirely Until | now
advantage | has belonged Until | now
advantage | has belonged to | them
advantage | has belonged almost entirely to | them
Paribus | is | welcome effort begin
Paribus | is | welcome effort begin available on iOS
Paribus | is | effort begin available
Paribus | is | welcome effort available on iOS
Paribus | is | effort available on iOS
Paribus | is | welcome
Paribus | is | welcome effort begin available
Paribus | is | welcome effort available
Paribus | is | welcome effort
Paribus | is | effort begin available on iOS
Paribus | is | effort begin
Paribus | is | effort available
Paribus | is | effort
Windows 10 | is now available as | upgrade for Windows 7
Windows 10 | is available as | free upgrade for Windows 7
Windows | is | now available
Windows 10 | is now available as | free upgrade
Windows | is available as | free upgrade
Windows | is now available as | free upgrade for Windows 7
Windows 10 | is available as | free upgrade
Windows | is now available as | free upgrade
Windows 10 | is available as | upgrade for Windows 7
Windows 10 | is now available as | upgrade
Windows | is now available as | upgrade
Windows 10 | is available as | upgrade
Windows 10 | is | available
Windows 10 | is | now available
Windows | is available as | upgrade for Windows 7
Windows | is available as | upgrade
Windows | is available as | free upgrade for Windows 7
Windows | is | available
Windows 10 | is now available as | free upgrade for Windows 7
Windows | is now available as | upgrade for Windows 7
Microsoft | is working behind | scenes
Microsoft | is working hard behind | scenes
millions | are performing | upgrade
Microsoft | is working on | updates
Microsoft | is working hard on | updates
Some | are | come
Some | are | more come
Microsoft | with | plans
Sources | familiar with | Microsoft 's plans
Microsoft | is working toward | bigger collection
Microsoft | is working toward | bigger collection of fixes
Microsoft | is working After | patches
Microsoft | is working toward | collection
Microsoft | is working toward | collection of fixes
Microsoft | is working After | initial patches
some | scheduled for | October
some | will include | new Messaging app
extensions | support for | Microsoft Edge browser
some | Tentatively scheduled for | October
some | will include | Messaging app
Microsoft | has | Windows chief Terry Myerson in interview with Verge
Microsoft 's Windows chief Terry Myerson | is in | interview with Verge
interview | is with | Verge
Windows testers | will start with | ability
Windows testers | receive shortly | builds
it | has | available broadly
it | has | available
it | has | available more broadly
Windows testers | receive | builds
Windows testers | receive | new builds
Windows 10 testers | receive shortly | new builds
Windows 10 testers | will start with | ability
Windows 10 testers | receive shortly | builds
Windows 10 testers | receive | builds
Windows 10 testers | receive | new builds
Windows testers | receive shortly | new builds
Microsoft Edge program manager | revealed | little
Windows 10 testers | will see | Microsoft Edge extensions soonSpeaking to Verge last week
Windows 10 testers | will see | Microsoft Edge extensions soonSpeaking to Verge
Microsoft Edge extensions | soonSpeaking | week
Windows 10 testers | will see | Microsoft Edge extensions
Windows 10 testers | will see | Microsoft Edge extensions soonSpeaking week
Windows testers | will see | Microsoft Edge extensions soonSpeaking to Verge
Windows testers | will see | Microsoft Edge extensions soonSpeaking last week
Windows 10 testers | will see | Microsoft Edge extensions soonSpeaking to Verge week
Microsoft Edge extensions | soonSpeaking to | Verge
Windows testers | will see | Microsoft Edge extensions
Windows 10 testers | will see | Microsoft Edge extensions soonSpeaking last week
Windows 10 testers | will see | Microsoft Edge extensions soonSpeaking
Microsoft Edge extensions | soonSpeaking | last week
Windows testers | will see | Microsoft Edge extensions soonSpeaking to Verge last week
Windows testers | will see | Microsoft Edge extensions soonSpeaking
Windows testers | will see | Microsoft Edge extensions soonSpeaking week
Windows testers | will see | Microsoft Edge extensions soonSpeaking to Verge week
Microsoft | mimic | exactly Chrome extensions work
Microsoft | mimic | exactly how Chrome extensions work
Extensions | will | will javascript-based
Microsoft | mimic | how Chrome extensions work
it | so 's easy for | developers
it | 's easy for | developers
it | has | so easy
Microsoft | mimic | Chrome extensions work
it | has | easy
it | has | so easy for developers across
Microsoft | mimic | extensions work
it | has | easy across
it | has | so easy across
it | has | easy for developers across
Pinterest extension | is | integrated
Pinterest extension | is | how integrated
We | 're doing | lot
We | 're doing | lot of work
developers | will | will able
developers | will | will able to sideload them.Microsoft 's dedicated Messaging app for Windows 10
Extensions | will | will hosted alongside apps
developers | will | will able to them.Microsoft 's Messaging app
developers | will | will able to sideload them.Microsoft 's Messaging app
Extensions | will | will hosted in Windows Store alongside apps
developers | will | will able to them.Microsoft 's dedicated Messaging app for Windows 10
Extensions | will | will hosted alongside regular apps
developers | will | will able to them.Microsoft 's Messaging app for Windows 10
Extensions | will | will hosted in Windows Store
sideload them.Microsoft | to | dedicated Messaging app for Windows 10
developers | will | will able to sideload them.Microsoft 's Messaging app for Windows 10
developers | will | will able to sideload them.Microsoft 's dedicated Messaging app
developers | will | will able to them.Microsoft 's dedicated Messaging app
Extensions | will | will hosted in Windows Store alongside regular apps
Extensions | will | will hosted
messaging app | Skype | integration
messaging app | Skype integration directly into | Windows 10
messaging app | Skype directly | integration
messaging app | Skype integration into | Windows 10
insiders | test very soon | it
insiders | test soon | it
insiders | test | it
Microsoft | release | this
video | calls | all
video | calls | audio
You | 'll | 'll able
Skype messaging | will | will supported through built-in Messaging app
Skype messaging | will | will supported
Skype messaging | will | will supported through Messaging app
Microsoft | is also working Outside of | features
Microsoft | is working Outside of | features
Microsoft | is also working on | basics
Microsoft | is working on | basics
redstone | may introduce apps as | part
redstone | may introduce | new apps
fall updates | due at_time | year
fall updates | due at_time | next year
redstone | may introduce | apps
Microsoft | has made | lot
Microsoft | has made | lot of promises about it
Microsoft | has made | lot of promises
we | oddly enough 've heard | most of them
we | oddly enough 've heard | most
we | 've heard before | most
we | oddly enough 've heard before | most
we | 've heard before | most of them
we | enough 've heard | most of them
we | enough 've heard before | most
we | 've heard | most
we | enough 've heard | most
we | oddly enough 've heard before | most of them
we | enough 've heard before | most of them
we | 've heard | most of them
Both | acknowledge | apps
Both | acknowledge | mobile apps
Both | were | designed
Windows 10 | actually does | things
Windows 10 | does | things
inside MicrosoftThe company | from | latest trick
lot | listening to | its usersBy Tom Warren Windows 10
Microsoft | has made | lot
Microsoft | has made | lot of promises about it
Microsoft | has made | lot of promises
we | oddly enough 've heard | most of them
we | oddly enough 've heard | most
we | 've heard before | most
we | oddly enough 've heard before | most
we | 've heard before | most of them
we | enough 've heard | most of them
we | enough 've heard before | most
we | 've heard | most
we | enough 've heard | most
we | oddly enough 've heard before | most of them
we | enough 've heard before | most of them
we | 've heard | most of them
Both | acknowledge | apps
Both | acknowledge | mobile apps
Both | were | designed
they | be | serious
its users | forget | their point-and-click ways
its users | forget | their old point-and-click ways
their point-and-click ways | embrace | future
their old point-and-click ways | embrace | tiled future
Steve Ballmer | took bet In | response
Steve Ballmer | took | big bet
Steve Ballmer | took | rest
Steve Ballmer | took | bet
their point-and-click ways | embrace | tiled future
Steve Ballmer | took | rest of Microsoft
their old point-and-click ways | embrace | future
Windows 8 8 | were related pieces in | strategy
Windows 8 8 | move company into | future of touchscreens
Windows 8 8 | move | company
related pieces | move company into | future touchscreens
Windows 8 8 | were related pieces in | bold strategy
Windows 8 8 | were | related pieces
related pieces | move | company
Windows 8 8 | move company into | future
pieces | move company into | future touchscreens
pieces | move | company
Windows 8 8 | pieces | Windows Phone
Windows 8 8 | move | Windows Phone
Windows 8 8 | were pieces in | bold strategy
Windows 8 8 | were pieces in | strategy
related pieces | is in | bold strategy
pieces | move company into | future
Windows 8 8 | were | pieces
Windows 8 8 | related pieces | Windows Phone
related pieces | move company into | future
Users | rejected | confusing new version
Users | rejected | version of Windows
Users | rejected | confusing version
Users | rejected | confusing version of Windows
Users | roundly rejected | confusing version
Users | rejected | new version of Windows
Users | roundly rejected | version of Windows
Users | roundly rejected | new version
Users | roundly rejected | version
Users | roundly rejected | confusing version of Windows
Users | rejected | confusing new version of Windows
Users | roundly rejected | confusing new version of Windows
Users | roundly rejected | confusing new version
Users | rejected | new version
developers | balked without | them
Users | rejected | version
Users | roundly rejected | new version of Windows
consumers | big interest in | touchscreen PCs
it | was | late
it | was | too late
Windows 8 | was version | you skipped
Windows | was version | you skipped
service | is in | perpetuity
they | 're working on | next
Verge | team behind | Windows 10
exclusive interviews | is with | Verge
This | is story of | Windows 10 from Microsoft
This | is story of | Windows 10 from inside Microsoft
This | is story of | Windows 10
This | is | story
he | last at | Microsoft
Terry MyersonDeveloping | is in | openTerry Myerson
I | really loved | people
I | loved | people
It | has | 18 years
he | worked on | Exchange
It | has | now 18 years
he | 's sitting days in front of | me
he | Now 's sitting as | head of Windows
he | 's sitting days as | head of Windows
he | 's sitting days as | head
he | Now 's sitting days as | head
he | Now 's sitting in front of | me
he | Now 's sitting as | head
he | 's sitting | days
he | Now 's sitting days in front of | me
he | 's sitting as | head
he | 's sitting as | head of Windows
he | Now 's sitting | just days
software maker | launches | Windows 10
he | 's sitting in front of | me
he | Now 's sitting days as | head of Windows
he | 's sitting | just days
he | Now 's sitting | days
It | has | two years
release | is important to | him
release | is | important
customers | love | Windows
Microsoft | needs | customers
he | 's more than | happy
pressure | is | on.Myerson
he | release | Windows 10
results | will go as | Windows 10 launches to millions around world
results | will go as | Windows 10 launches to millions of people
results | will go as | Windows 10 launches to millions
Microsoft | of | work
results | will go at_time | today
results | will go as | Windows 10 launches
results | will go as | Windows 10 launches to millions of people around world
results | will go as | Windows 10 launches around world
results | will go on | display
people | form early | opinions
people | form too early | opinions
it | will continue over | months
people | form | opinions
Microsoft | for | operating systems group
Gabe Aul | manager for | Microsoft 's operating systems group
Aul | launched | his Microsoft career
Microsoft | of | Windows 10 testing
he | remains | perfectly cool
He | receives | Microsoft feedback
he | remains | cool
he | has | keen
me | fix for | problem within seconds.He
we | start | our interview
me fix | admits | he
we | Even start | our interview
me | fix for | problem
help desk | asking | user
Microsoft | has built | whole system
it | receives for | Windows 10
IT support | is | help desk
IT support | is | simply help desk
Microsoft | has built | system
Microsoft engineers | analyze | it
It | gets | collected
Microsoft engineers | analyze visually | it
Microsoft engineers | can use | tools
Microsoft | will hear about | it
Cortana | starts | breaking
Cortana | starts | breaking in France
Cortana | breaking in | France
engineers | can detect | trends
engineers | can detect | trends based
of Windows 8 good touch work | 's all is | move slowly building back in
He | cuts | short to laugh
Windows Insiders | were really vocal in | comments about ugly first version was.Sometimes
Windows Insiders | were really vocal in | comments about how ugly version was.Sometimes
Windows Insiders | were really vocal in | comments
Windows Insiders | were | vocal
Windows Insiders | were vocal in | comments about version was.Sometimes
Windows Insiders | were vocal in | comments about how ugly version was.Sometimes
Windows Insiders | were | really vocal
trash | feedback | we got
Windows Insiders | were vocal in | comments about ugly first version was.Sometimes
Windows Insiders | were really vocal in | comments about version was.Sometimes
Windows Insiders | were vocal in | comments about ugly version was.Sometimes
Windows Insiders | were really vocal in | comments about how ugly first version was.Sometimes
Windows Insiders | were really vocal in | comments about ugly version was.Sometimes
Windows Insiders | were vocal in | comments about how ugly first version was.Sometimes
Windows Insiders | were vocal in | comments about first version was.Sometimes
Windows Insiders | were vocal in | comments
Windows Insiders | were really vocal in | comments about first version was.Sometimes
He | cuts | short
kid | is in | Bangladesh
It | was | great
It | was | dialogue
It | was | great dialogue
flight commander | takes | control
flight commander | takes | control of team
it | has | time talk
it | has | When time talk about phone
it | has | time talk about phone
it | talk about | phone
it | has | time
it | has | When time
he | put | phone hat
it | has | When time talk
we | keep | room in check
room | is in | check
we | keep | room
we | room in | check
May 20 | symbol of | time
2015There | has | also red outfit hanging on wall
It | 's Aul is | @GabeAul
It | has | real :--RRB- pic.twitter.com/dwF9EJOQkQ— Gabriel Aul
It | became | running joke
It | became | joke
meeting | is with | bug
they | wear | something red.To
Microsoft engineer | enters | meeting
build | is | ready
build | be released to | public
build | is | when ready
Aul | hits | it
build | be | released
It | has | ceremonial
it | does send trigger to | flighting system
it | actually does send | trigger
It | has | mostly ceremonial
it | does send | trigger
it | actually does send trigger to | flighting system
it | is says | something
something | inappropriate in | Stephen Hawking voice
it | is says | something inappropriate
it | is says | something inappropriate in Stephen Hawking voice
voice synthesizer | is in | there
voice | synthesizer in | there
it | is | says
sourced | is | big
sourced | is | big change
sourced | is | change
tweets.Microsoft | about | willingness solicit on early versions
quotes | are | sourced
sourced | is big change from | past
quotes | are sourced from | team about his tweets.Microsoft 's willingness
sourced | is change from | past
quotes | are sourced from | team
I | write about | prerelease versions
I | dared | write about prerelease versions
I | dared | write about prerelease versions of Windows
Microsoft | has | lawyers
I | dared | write
I | write about | prerelease versions of Windows
it | was developed with | little consideration
it | was developed with | consideration
it | was | developed
Windows | had | public previews
it | was largely developed with | little consideration
it | was developed with | consideration to feedback
Windows | had | few previews
Windows | had | previews
Windows 8 | had | previews
it | was largely developed with | consideration to feedback
it | was | largely developed
it | was developed with | little consideration to feedback
it | was largely developed with | little consideration to feedback
Windows 8 | had | few public previews
Windows 8 | had | few previews
Windows | had | few public previews
it | was largely developed with | consideration
Windows 8 | had | public previews
8 | shipped despite | user concerns
8 | shipped despite | user concerns fullscreen apps
new feature | is in | sprawling technical blog posts
changes.Myerson | has | different philosophy
mountain | is with | tablet
Microsoft | has | management
Joe BelfioreFrom apps | may | may have confident
ambitions | push | touch computing
Joe BelfioreFrom apps | may | may have confident about Windows 8
it | has | customer satisfaction rates for mouse users
it | has | aware customer satisfaction rates for mouse users
it | has | aware customer satisfaction rates
customer satisfaction rates | are | low
Microsoft | has | has forced
aware customer satisfaction rates | are | low
it | has | customer satisfaction rates
Microsoft | has | new Start menu
developers | put | apps
we | have | audience of people
we | audience of | people
we | have | audience
we | have | big audience
we | have | big audience of people
Microsoft | has | Joe Belfiore
we | big audience of | people
developers | be | demand
I | see again | platform change
years | building | Windows Phone
He | spent | years
He | spent years alongside | Myerson
he | has | To many fans face of Microsoft 's efforts
he | has | To fans face of Microsoft 's mobile efforts
he | 's face To | many fans
he | has | To many fans face of Microsoft 's mobile efforts
he | has | To fans face of Microsoft 's efforts
he | 's face To | fans
Microsoft | of | mobile efforts
Microsoft | rebuilding | its Windows Phone OS
it | took | too long for Windows Phone 8.1
it | took | long for Windows Phone 8.1
it | took | long
it | took | far too long for Windows Phone 8.1
it | took | far long
it | took | far too long
it | took | too long
been | there from | beginning
it | took | far long for Windows Phone 8.1
It | 's knocked | developer confidence
It | say | nothing of its chances gaining
It | say | nothing of crippling its chances gaining
It | say | nothing
same apps | run across | PCs
It | say | nothing of its chances
It | say | nothing gaining
apps | run across | PCs
It | say | nothing of crippling its chances
phones | will have | expansive set of apps
next phones | will have | expansive set of apps from Windows 10
phones | will have | set of apps from Windows 10
next phones | will have | set of apps from Windows 10
phones | will have | set from Windows 10
phones | will have | set of apps
next phones | will have | set
phones | will have | expansive set
phones | will have | set
next phones | will have | set from Windows 10
next phones | will have | expansive set
next phones | will have | set of apps
next phones | will have | expansive set of apps
phones | will have | expansive set from Windows 10
phones | will have | expansive set of apps from Windows 10
next phones | will have set As | result
next phones | will have | expansive set from Windows 10
phones | will have set As | result
we | are making | that
He | has | also blunt
He | has | blunt
he | was | intimately involved
he | characterizes | Windows
He | has | surprisingly blunt
He | has | also surprisingly blunt
he | was | involved
We | couple of | sort practice runs
We | couple of | sort
We | 've had | couple of sort practice runs
We | 've had | couple of sort practice runs with phone
We | couple of | sort practice runs with phone
We | 've had | couple of sort
We | 've had | couple
practice | runs with | phone
brighter future | is with | Windows 10
I | see again | platform change
company | scaling | it
company | scaling massively | it
company | restructuring | its phone business
company | scaling back massively | it
Microsoft | make | fewer models
jobs | are | are cut
7,800 jobs | are | are cut
Microsoft | make | models
We | focus on | devices
We | focus on | great devices
We | focus on | few great devices
We | going | focus on few great devices
We | going | focus on few devices
We | going | focus on devices
We | going | focus
We | focus on | few devices
We | going | focus on great devices
that | has | similar approach
that | has | approach
I | push | him
that | has | similar
that | 's similar approach to | Surface
that | 's approach to | Surface
he | hides Lumia phone in | his pocket
he | hides | unreleased Lumia phone
he | hides | Lumia phone
Microsoft | is | rumored
Microsoft | is rumored | be working
you | use phone as | kind of PC
you | use phone as | kind
you | use | phone
phone | is | feature complete
phone | is | feature
phone | is | significantly feature
we | 'll continue | polish
phone | is | significantly feature complete
feature | is set in | general
broad feature | is set in | general
Phil SpencerWindows 10 | also coming | Xbox OneWindows 10
Phil SpencerWindows 10 | is coming in | way
Phil SpencerWindows 10 | is also coming in | way
Phil SpencerWindows 10 | is also coming in | big way
Phil SpencerWindows 10 | is coming in | big way
Phil SpencerWindows 10 | coming | Xbox OneWindows 10
Phil SpencerWindows 10 | is coming to | Xbox
Phil SpencerWindows 10 | is also coming to | Xbox
app | is | significant
You | can stream | Xbox One games
you | can chat freely from | PC
you | can chat to | Xbox One
you | can chat freely to | Xbox One
you | can chat to | Xbox One with
you | can chat freely to | Xbox One with
you | can chat from | PC
You | use | Xbox controller
It | has | addition for Xbox gamers after rough couple of years
It | has | great addition for Xbox gamers after couple
It | 's great addition after | rough couple
It | has | great addition for Xbox gamers after couple of years
It | has | addition
It | has | great addition
It | 's addition after | rough couple of years
It | 's addition after | couple
It | 's addition for | Xbox gamers
It | 's great addition after | couple
It | 's addition after | couple of years
It | has | great addition for Xbox gamers after rough couple
It | has | great addition for Xbox gamers after rough couple of years
It | 's addition after | rough couple
It | 's great addition after | rough couple of years
It | 's great addition after | couple of years
It | 's great addition for | Xbox gamers
It | has | great
It | has | addition for Xbox gamers after couple
It | has | addition for Xbox gamers after couple of years
It | has | addition for Xbox gamers after rough couple
Sony | has | PlayStation 4
Sales | have | have second
Sales | have | have second to
Phil Spencer | head of | Xbox
Microsoft | has | head of Xbox
Xbox team | re-centered on | its fans
It | has | approach
you | go | PC
you | 're going | go to Xbox
we | get | keyboard working
you | go to | Xbox
you | go PC to | Xbox
you | 're going | go
Microsoft | is unifying | them
Xbox store | is | separate
Xbox store | is separate at_time | Today
Xbox store | is | Today separate from Windows store
Xbox store | is separate from | Windows store
we | finally see | Windows 10 apps
we | finally see | Windows 10 apps on Xbox One
we | see | Windows 10 apps on Xbox One
we | waiting until | next year
we | waiting until | year
we | see | Windows 10 apps
Microsoft | has | store
Steam | be | incredibly popular
Steam | be | popular
I | look at | health of Steam
I | look as | harbinger of health of Windows gaming
I | look as | harbinger of health
I | look as | harbinger
I | look at | health
Microsoft | has | Cortana digital assistant
you | really thinking about | scenarios
you | thinking about | scenarios
you | go | PC
you | 're going | go to Xbox
you | go to | Xbox
you | go PC to | Xbox
we | get | keyboard
you | 're going | go
scope | is In | terms where we want
those | are in | In terms scope
those | are in | scope
we | go with | our platform
those | are in | In terms absolutely scope
we | want | do
those | are in | In terms want absolutely scope
those | are in | In terms where want scope
those | are in | In terms want scope
those | are in | absolutely scope
we | want | that
those | are in | In terms where want absolutely scope
Windows 10 | meaning | updates
Windows 10 | meaning | regular updates
it | has | now all
it | has | Right now all
it | has | all
they | keep | everyone
you | upgrade from | Windows 7
they | keep everyone up | up date
Myerson | is confident in | quality of Windows 10
Myerson | is confident in | quality
Myerson | is | confident
We | keep | fixing
We | 're | committed
We | 're committed | listen
That | responding | sums
That | responding | sums up Windows 10
company | make again | mistakes
nine times | is in | our hour
Myerson | used | it together
Myerson | used | it nine times in our hour together
Myerson | used | it
it | together | nine times
it | together | nine times in our hour
Myerson | used | it nine times together
it | has | long time
it | has | time
your product development cycle | is | founded
your product development cycle | is | especially when founded
your product development cycle | taking | user feedback
your product development cycle | is | especially founded
your product development cycle | taking seriously | user feedback
your product development cycle | is | when founded
I | learned | anything
I | speaking to | team building Windows 10
people | love | Windows
people | love again | Windows
it | has | future foundation
it | 's future foundation of | company
Microsoft | want | know
you | can | can sure
Michael Zelenko Microsoft | has | Windows 10 operating system
* Photography | enabling | Xbox
* Photography | debuts at_time | today
that | has | neat
Microsoft | is working on | streaming PC games
Microsoft | is working to | Xbox One
that | 's neat feature for | Xbox One owners
that | 's feature for | Xbox One owners
that | has | neat feature
that | has | feature
Microsoft 's head | reveals In | interview with Verge
Microsoft | 's head is | Phil Spencer
interview | is with | Verge
Microsoft 's head | reveals In | interview
Microsoft | has | head of Xbox
company | working on | feature
you | go | PC
you | 're going | go to Xbox
you | go to | Xbox
you | go PC to | Xbox
we | get | keyboard
you | 're going | go
those | are in | In terms scope of things
scope | is In | terms where we want
those | are in | In terms scope
those | are in | scope
we | go with | our platform
those | are in | In terms absolutely scope
we | want | do
those | are in | In terms want absolutely scope
those | are in | In terms where want scope
those | are in | In terms absolutely scope of things
those | are in | In terms want absolutely scope of things
those | are in | In terms want scope
those | are in | absolutely scope of things
those | are in | In terms where want absolutely scope of things
those | are in | absolutely scope
we | want | that
those | are in | In terms want scope of things
those | are in | In terms where want absolutely scope
those | are in | scope of things
those | are in | In terms where want scope of things
Challenge | is | good
real challenge | getting | PC
real challenge | having | right amount
challenge | having | right amount of bandwidth
real challenge | having | amount of bandwidth
challenge | having | amount
real challenge | having | right amount of bandwidth
real challenge | having | amount
challenge | having | right amount
challenge | having | amount of bandwidth
real challenge | getting PC to | Xbox game streaming
challenge | getting PC to | Xbox game streaming
challenge | getting | PC
Streaming | is | more predictable
Streaming | is | predictable
It | encoding on | PC side to Xbox
It | encoding on | PC side
challenge | is | good
tackle.It | to | early days for Xbox
Xbox app | is | anything go by then future on Windows 10
it | 's challenge | willing to tackle.It 's early days
Xbox app | is | anything go
it | 's clearly challenge | willing
it | 's clearly challenge | willing to tackle.It 's early days for Xbox
it | 's challenge | willing to tackle.It 's days
Xbox app | is | anything go by then future of gaming on Windows 10
Xbox app | is | anything go by future of gaming on Windows 10
Xbox app | is | anything go by then future of gaming
it | 's clearly challenge | willing to tackle.It 's days
anything | is going | interesting
Xbox app | is | anything go on Windows 10
it | 's clearly challenge | willing to tackle.It 's days for Xbox
Microsoft | is willing to | tackle.It 's days
Xbox app | is | anything go by future on Windows 10
Xbox app | go by | future of gaming
Microsoft | is | willing
it | 's challenge | willing
Xbox app | is | anything go by future
Xbox app | go by | future
it | 's challenge | willing to tackle.It 's early days for Xbox
Xbox app | go by | then future
Microsoft | is willing to | tackle.It 's days for Xbox
it | 's challenge | willing to tackle.It 's days for Xbox
it | 's clearly challenge | willing to tackle.It 's early days
Xbox app | is | anything go by future of gaming
Xbox app | go on | Windows 10
Xbox app | go by | then future of gaming
Xbox app | is | anything go by then future
Xbox app | is | anything
Microsoft | is willing to | tackle.It 's early days for Xbox
Microsoft | is willing to | tackle.It 's early days
they | want | that
They | want | play with their friends
They | play with | their friends
They | want | play
Windows | is incredibly strong Because of | that
Windows | is | strong
Windows | is strong Because of | that
Windows | is | incredibly strong
launch | quickly turned into | disaster
Reaction | was | swift
launch | turned into | disaster
he | has re-centered | company 's focus
Microsoft | has | Xbox chief
he | has re-centered | company 's focus on gaming
company | has | focus on gaming
time | watching | entertainment
Spencer | has shared | some his vision
much time | watching entertainment on | Xbox console
much time | watching | entertainment
time | watching entertainment on | Xbox console
Spencer | has shared | some of his vision
interview | is with | Verge
entertainment features | is in | Xbox One.While
Microsoft | looking at | new ways
Spencer | has shared | some
Microsoft | looking at | ways
We | probably taken | little different approach
We | taken | approach
We | taken | different approach
We | taken | little different approach
We | probably taken | approach
We | probably taken | different approach
we | did at | launch
We | lot about | over-the-top
Part | has seen | company launch Xbox One TV tuners
Part | has seen | company launch Xbox One digital TV tuners
Xbox One | promised | deep TV integration
Xbox One | promised | interactive TV integration
Xbox One | promised | TV integration
result | has | has mix
Xbox One | promised | deep interactive TV integration
result | has | has mix of IR blasters
people | find | right TV show
ability | watch | content streamed
ability | watch | content streamed from Xbox
ability | watch | content streamed from Xbox to devices
Spencer | sees | Xbox
ability | watch | content streamed from Xbox to other devices
ability | watch | content
people | find | TV show
Spencer | now sees | Xbox
advances | is in | entertainment space
Microsoft | working | let
you | record | TV shows
Microsoft | working on | DVR feature
Microsoft | working on | DVR feature for Xbox One
we | see | announcements around entertainment
Microsoft | planning | bigger presence at Gamescom event week
Microsoft | bigger presence at | Gamescom event week
Microsoft | planning | bigger presence
Microsoft | planning | presence at Gamescom event week
Microsoft | presence at | Gamescom event
Microsoft | planning | presence at Gamescom event next week
Microsoft | planning | presence
Microsoft | planning | bigger presence at Gamescom event next week
Microsoft | presence at | Gamescom event week
it | has | possible
Microsoft | planning | presence at Gamescom event
we | announcements around | entertainment
Microsoft | planning | bigger presence at Gamescom event
we | see | announcements
Microsoft | bigger presence at | Gamescom event next week
Microsoft | presence at | Gamescom event next week
Microsoft | bigger presence at | Gamescom event
That | sounds like | hint
That | sounds like | hint at
Verge | so stay | tuned
Verge | so stay | tuned for all Xbox coverage
Verge | stay | tuned for all of Xbox coverage
Verge | so stay | tuned for all our Xbox coverage
Verge | stay | tuned for all of our Xbox coverage
Verge | so stay | tuned for all of our Xbox coverage
Verge | stay | tuned for all our Xbox coverage
Verge | so stay | tuned for all of Xbox coverage
Verge | stay | tuned
Verge | stay | tuned for all Xbox coverage
Twitter | has | product organization
executive turnover | is | where norm
executive turnover | is | norm
he | was | person
he | was | fifth person
person | take job in | five years
Kevin Weil | took reins in | October
Kevin Weil | took | reins
person | take | job
fifth person | take | job
fifth person | take job in | five years
former Google Maps executive Daniel Graf | lasted at_time | mere six months
challenge Weil | has | predecessors
Twitter | has | core product
former Google Maps executive Daniel Graf | lasted at_time | six months
he | became | responsible for all revenue-producing products
he | joined company as | data scientist
he | joined company in | 2009
he | became | responsible
he | joined | company
he | became | responsible for all of Twitter 's revenue-producing products
Twitter | of | revenue-producing products
he | became | responsible for all Twitter 's revenue-producing products
he | became | responsible for all of revenue-producing products
Dick Costolo | stepped because of | pressure grow
Dick Costolo | stepped down because of | pressure grow
Dick Costolo | stepped because of | pressure
Dick Costolo | stepped down because of | pressure from Wall Street grow
Dick Costolo | stepped down in | part
Dick Costolo | stepped because of | pressure from Wall Street grow
Dick Costolo | stepped down because of | pressure
Dick Costolo | stepped down because of | pressure from Wall Street
company | has | number of active users more quickly
Dick Costolo | stepped in | part
Dick Costolo | stepped because of | pressure from Wall Street
Twitter co-founder Jack Dorsey | has stepped back into | role
Twitter co-founder Jack Dorsey | has stepped into | role
CEO search | takes | place
retain?The company | has | latest strategy
they | will attract | many users
they | will attract | How many users
they | will attract | users
Weil | has | legacy at company
it | define | Weil 's legacy
it | has | likely
it | define | Weil 's legacy at company
Twitter | calls | it Lightning
they | go | rid on your profile
they | had | go
Weil | CEO 's | Twitter
Twitter | has | latest CEO
they | go | rid of wallpaper
I | chatted Over | two wide-ranging interviews
they | go | rid
I | chatted Over | two interviews
they | go | rid of wallpaper on your profile
Highlights | are below | interview
You | 're working with | CEO
You | 're working with | new CEO
You | 're working now with | CEO
You | 're working now with | new CEO
condensed.How many users | will Twitter | attract?Casey Newton
condensed.How users | will Twitter | attract?Casey Newton
I | 've liked | working
I | 've really liked | working with Jack
I | working with | Jack
I | 've really liked | working
I | 've liked | working with Jack
I | working for | Dick
He | has | mentor to me
He | has | mentor
He | has | great mentor to me
He | has | great mentor
Twitter | of | place in world
he | has | sense of Twitter 's place
Jack | brings | vision
he | has | sense of Twitter 's place in world
he | very strong sense of | Twitter 's place
he | has | very strong sense of Twitter 's place
Jack | brings | vision of founder of product
he | has | sense
he | has | very strong sense
he | very strong sense of | Twitter 's place in world
he | has | strong sense of Twitter 's place in world
Twitter 's place | is in | world
Jack | brings back | vision of founder of product
Jack | brings back | vision of founder
he | has | strong sense of Twitter 's place
he | sense of | Twitter 's place in world
Jack | brings back | vision
he | has | strong sense
he | strong sense of | Twitter 's place
he | strong sense of | Twitter 's place in world
he | sense of | Twitter 's place
Jack | brings | vision of founder
he | has | very strong sense of Twitter 's place in world
it | has | great experience
it | has | experience
it | has | honestly experience
team | so has made | moves
He | 's bringing | his perspective
far.Your team | has consistently made | moves
we | develop | products
team | so has consistently made | moves
far.Your team | has made | moves
far.Your team | so has made | moves
far.Your team | change | core Twitter experience
team | has consistently made | moves
it | has | honestly great experience
far.Your team | so has consistently made | moves
team | change | core Twitter experience
team | has made | moves
